Word,POS,NER
The,DT,I-MISC
Oxford,NNP,I-MISC
Companion,NNP,I-MISC
to,TO,I-MISC
Philosophy,NNP,I-MISC
says,VBZ,O
",",",",O
"""",LQU,O
there,EX,O
is,VBZ,O
no,DT,O
single,JJ,O
defining,VBG,O
position,NN,O
that,IN,O
all,DT,O
anarchists,NNS,O
hold,VBP,O
",",",",O
and,CC,O
those,DT,O
considered,VBN,O
anarchists,NNS,O
at,IN,O
best,JJS,O
share,NN,O
a,DT,O
certain,JJ,O
family,NN,O
resemblance,NN,O
.,.,O
"""",RQU,O
In,IN,O
the,DT,O
end,NN,O
",",",",O
for,IN,O
anarchist,JJ,O
historian,JJ,O
Daniel,NNP,I-PER
Guerin,NNP,I-PER
"""",LQU,O
Some,DT,O
anarchists,NNS,O
are,VBP,O
more,RBR,O
individualistic,JJ,O
than,IN,O
social,JJ,O
",",",",O
some,DT,O
more,JJR,O
social,JJ,O
than,IN,O
individualistic,JJ,O
.,.,O
From,IN,O
this,DT,O
climate,NN,O
William,NNP,I-PER
Godwin,NNP,I-PER
developed,VBD,O
what,WP,O
many,NN,O
consider,VBP,O
the,DT,O
first,JJ,O
expression,NN,O
of,IN,O
modern,JJ,O
anarchist,NN,O
thought,NN,O
.,.,O
Godwin,NNP,I-PER
was,VBD,O
",",",",O
according,VBG,O
to,TO,O
Peter,NNP,I-PER
Kropotkin,NNP,I-PER
",",",",O
"""",LQU,O
the,DT,O
first,JJ,O
to,TO,O
formulate,VB,O
the,DT,O
political,JJ,O
and,CC,O
economical,JJ,O
conceptions,NNS,O
of,IN,O
anarchism,NN,O
",",",",O
even,RB,O
though,IN,O
he,PRP,O
did,VBD,O
not,RB,O
give,VB,O
that,DT,O
name,NN,O
to,TO,O
the,DT,O
ideas,NNS,O
developed,VBN,O
in,IN,O
his,PRP$,O
work,NN,O
"""",RQU,O
",",",",O
while,IN,O
Godwin,NNP,I-PER
attached,VBD,O
his,PRP$,O
anarchist,NN,O
ideas,NNS,O
to,TO,O
an,DT,O
early,JJ,O
Edmund,NNP,I-PER
Burke,NNP,I-PER
.,.,O
Its,PRP$,O
classical,JJ,O
period,NN,O
",",",",O
which,WDT,O
scholars,NNS,O
demarcate,VBP,O
as,IN,O
from,IN,O
1860,CD,O
to,TO,O
1939,CD,O
",",",",O
is,VBZ,O
associated,VBN,O
with,IN,O
the,DT,O
working-class,JJ,O
movements,NNS,O
of,IN,O
the,DT,O
nineteenth,JJ,O
century,NN,O
and,CC,O
the,DT,O
Spanish,NNP,I-MISC
Civil,NNP,I-MISC
War-era,NNP,I-MISC
struggles,VBZ,O
against,IN,O
fascism,NN,O
.,.,O
Due,JJ,O
to,TO,O
its,PRP$,O
links,NNS,O
to,TO,O
active,JJ,O
workers,NNS,O
',POS,O
movements,NNS,O
",",",",O
the,DT,I-MISC
International,NNP,I-MISC
became,VBD,O
a,DT,O
significant,JJ,O
organization,NN,O
.,.,O
Karl,NNP,I-PER
Marx,NNP,I-PER
became,VBD,O
a,DT,O
leading,JJ,O
figure,NN,O
in,IN,O
the,DT,I-MISC
International,NNP,I-MISC
and,CC,O
a,DT,O
member,NN,O
of,IN,O
its,PRP$,O
General,NNP,I-ORG
Council,NNP,I-ORG
.,.,O
Proudhon,NNP,I-PER
's,POS,O
followers,NNS,O
",",",",O
the,DT,O
mutualists,NNS,O
",",",",O
opposed,VBD,O
Marx,NNP,I-PER
's,POS,O
state,NN,O
socialism,NN,O
",",",",O
advocating,VBG,O
political,JJ,O
abstentionism,NN,O
and,CC,O
small,JJ,O
property,NN,O
holdings,NNS,O
.,.,O
They,PRP,O
allied,VBD,O
themselves,PRP,O
with,IN,O
the,DT,O
federalist,JJ,O
socialist,JJ,O
sections,NNS,O
of,IN,O
the,DT,I-MISC
International,NNP,I-MISC
",",",",O
who,WP,O
advocated,VBD,O
the,DT,O
revolutionary,JJ,O
overthrow,NN,O
of,IN,O
the,DT,O
state,NN,O
and,CC,O
the,DT,O
collectivization,NN,O
of,IN,O
property,NN,O
.,.,O
Subsequently,RB,O
",",",",O
the,DT,I-MISC
International,NNP,I-MISC
became,VBD,O
polarised,VBN,O
into,IN,O
two,CD,O
camps,NNS,O
",",",",O
with,IN,O
Marx,NNP,I-PER
and,CC,O
Bakunin,NNP,I-PER
as,IN,O
their,PRP$,O
respective,JJ,O
figureheads,NNS,O
.,.,O
In,IN,O
response,NN,O
",",",",O
unions,NNS,O
across,IN,O
America,NNP,I-LOC
prepared,VBD,O
a,DT,O
general,JJ,O
strike,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
event,NN,O
.,.,O
The,DT,O
incident,NN,O
became,VBD,O
known,VBN,O
as,IN,O
the,DT,O
Haymarket,NNP,I-PER
affair,NN,I-PER
",",",",O
and,CC,O
was,VBD,O
a,DT,O
setback,NN,O
for,IN,O
the,DT,O
labour,NN,O
movement,NN,O
and,CC,O
the,DT,O
struggle,NN,O
for,IN,O
the,DT,O
eight,CD,O
hour,NN,O
day,NN,O
.,.,O
The,DT,O
event,NN,O
also,RB,O
had,VBD,O
the,DT,O
secondary,JJ,O
purpose,NN,O
of,IN,O
memorializing,VBG,O
workers,NNS,O
killed,VBN,O
as,IN,O
a,DT,O
result,NN,O
of,IN,O
the,DT,O
Haymarket,NNP,I-PER
affair,NN,I-PER
.,.,O
Malatesta,NNP,I-PER
warned,VBD,O
that,IN,O
the,DT,O
syndicalists,NNS,O
aims,NNS,O
were,VBD,O
in,IN,O
perpetuating,VBG,O
syndicalism,NN,O
itself,PRP,O
",",",",O
whereas,IN,O
anarchists,NNS,O
must,MD,O
always,RB,O
have,VB,O
anarchy,NN,O
as,IN,O
their,PRP$,O
end,NN,O
and,CC,O
consequently,RB,O
refrain,VB,O
from,IN,O
committing,VBG,O
to,TO,O
any,DT,O
particular,JJ,O
method,NN,O
of,IN,O
achieving,VBG,O
it,PRP,O
.,.,O
The,DT,O
most,RBS,O
successful,JJ,O
was,VBD,O
the,DT,O
Confederación,NNP,I-ORG
Nacional,NNP,I-ORG
del,NNP,I-ORG
Trabajo,NNP,I-ORG
(,LRB,O
National,NNP,I-ORG
Confederation,NNP,I-ORG
of,IN,I-ORG
Labour,NNP,I-ORG
:,IN,O
CNT,NNP,I-ORG
),RRB,O
",",",",O
founded,VBN,O
in,IN,O
1910,CD,O
.,.,O
CGT,NNP,I-ORG
membership,NN,O
was,VBD,O
estimated,VBN,O
to,TO,O
be,VB,O
around,IN,O
"100,000",CD,O
for,IN,O
the,DT,O
year,NN,O
2003,CD,O
.,.,O
Other,JJ,O
active,JJ,O
syndicalist,NN,O
movements,NNS,O
include,VBP,O
the,DT,O
US,NNP,I-LOC
Workers,NNPS,I-ORG
Solidarity,NNP,I-ORG
Alliance,NNP,I-ORG
and,CC,O
the,DT,O
UK,NNP,I-LOC
Solidarity,NNP,I-ORG
Federation,NNP,I-ORG
.,.,O
Some,DT,O
anarchists,NNS,O
",",",",O
such,JJ,O
as,IN,O
Johann,NNP,I-PER
Most,NNP,I-PER
",",",",O
advocated,VBD,O
publicizing,VBG,O
violent,JJ,O
acts,NNS,O
of,IN,O
retaliation,NN,O
against,IN,O
counter-revolutionaries,NNS,O
because,IN,O
"""",LQU,O
we,PRP,O
preach,VBP,O
not,RB,O
only,RB,O
action,NN,O
in,IN,O
and,CC,O
for,IN,O
itself,PRP,O
",",",",O
but,CC,O
also,RB,O
action,NN,O
as,IN,O
propaganda,NN,O
.,.,O
"""",RQU,O
The,DT,O
anarcho-syndicalist,NN,O
",",",",O
Fernand,NNP,I-PER
Pelloutier,NNP,I-PER
",",",",O
argued,VBD,O
in,IN,O
1895,CD,O
for,IN,O
renewed,VBN,O
anarchist,NN,O
involvement,NN,O
in,IN,O
the,DT,O
labor,NN,O
movement,NN,O
on,IN,O
the,DT,O
basis,NN,O
that,IN,O
anarchism,NN,O
could,MD,O
